case_id,category,question,expected_sources,retrieved_sources,top_score,source_hit,grounding_result,notes
RAG-01,answerable,What model was selected for the Week 2 baseline?,CG-SRC-009,CG-SRC-003;CG-SRC-007;CG-SRC-009;CG-SRC-012,0.3020,true,PENDING_MODEL_RUN,
RAG-02,answerable,What are the default RAG top-k and minimum similarity settings?,CG-SRC-006,CG-SRC-005;CG-SRC-006,0.3868,true,PENDING_MODEL_RUN,
RAG-03,answerable,Can CodeGuard automatically merge a pull request?,CG-SRC-008,CG-SRC-001;CG-SRC-003;CG-SRC-008;CG-SRC-012,0.2466,true,PENDING_MODEL_RUN,
RAG-04,answerable,What input is required before CodeGuard generates a test plan?,CG-SRC-002,CG-SRC-001;CG-SRC-002;CG-SRC-004;CG-SRC-005,0.1236,true,PENDING_MODEL_RUN,
RAG-05,answerable,What should happen when evidence is insufficient?,CG-SRC-003;CG-SRC-004,CG-SRC-002;CG-SRC-003;CG-SRC-010;CG-SRC-011,0.1753,true,PENDING_MODEL_RUN,
RAG-06,answerable,How are retrieved sources made traceable?,CG-SRC-005;CG-SRC-007,CG-SRC-005;CG-SRC-007,0.1846,true,PENDING_MODEL_RUN,
RAG-07,answerable,Can a user search PetClinic owners by last name?,CG-SRC-012,CG-SRC-012,0.4073,true,PENDING_MODEL_RUN,
RAG-08,answerable,Which owner fields are required when creating an owner?,CG-SRC-012,CG-SRC-012,0.3401,true,PENDING_MODEL_RUN,
RAG-09,partial,How does owner search authenticate users and what search field is supported?,CG-SRC-012,CG-SRC-001;CG-SRC-006;CG-SRC-007;CG-SRC-012,0.2364,true,PENDING_MODEL_RUN,
RAG-10,partial,"What database and API endpoint does owner creation use, and which fields does it accept?",CG-SRC-012,CG-SRC-001;CG-SRC-004;CG-SRC-012,0.2020,true,PENDING_MODEL_RUN,
RAG-11,partial,What does the owner details page display and how are pets sorted?,CG-SRC-012,CG-SRC-001;CG-SRC-012,0.2795,true,PENDING_MODEL_RUN,
RAG-12,unanswerable,What is the production server IP address?,,CG-SRC-003;CG-SRC-005;CG-SRC-006;CG-SRC-012,0.1626,false,PENDING_MODEL_RUN,
RAG-13,unanswerable,What password is used for the Gemini API account?,,CG-SRC-002;CG-SRC-009;CG-SRC-012,0.1714,false,PENDING_MODEL_RUN,
RAG-14,unanswerable,Which CI provider deploys CodeGuard to production?,,CG-SRC-001;CG-SRC-003;CG-SRC-004;CG-SRC-008,0.2302,false,PENDING_MODEL_RUN,
RAG-15,unanswerable,What is the team's final Week 8 evaluation accuracy?,,CG-SRC-001;CG-SRC-006;CG-SRC-010;CG-SRC-012,0.1975,false,PENDING_MODEL_RUN,
